 Genre,IMDB Rating,Plot,Run Time,Title,Tomatometer
"Fantasy, Horror, Thriller",5.9,Five interlocking tales of terror follow the fates of a group of weary travellers who confront their worst nightmares - and darkest secrets - over one long night on a desolate stretch of desert highway.,89 min,Southbound,N/A
Horror,5.7,"In the cold, wintery fields of New England, a lonely old house wakes up every thirty years - and demands a sacrifice.",84 min,We Are Still Here,95
"Drama, Mystery, Sci-Fi",7.7,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I.,108 min,Ex Machina,93
"Drama, Thriller",6.6,"Healthcare professionals, government officials and everyday people find themselves in the midst of a worldwide epidemic as the CDC works to find a cure.",106 min,Contagion,84
"Adventure, Comedy",7.1,An Asian-American office worker and his Indian stoner friend embark on a quest to satisfy their desire for White Castle burgers.,88 min,Harold & Kumar Go to White Castle,74
"Adventure, Comedy",6.6,"After being mistaken for terrorists and thrown into Guantánamo Bay, stoners Harold and Kumar escape and return to the U.S., where they proceed to flee across the country with federal agents in hot pursuit.",104 min,Harold & Kumar Escape from Guantanamo Bay,53
"Mystery, Thriller",7.3,"Stranded at a desolate Nevada motel during a nasty rain-storm, ten strangers become acquainted with each other when they realize that they're being killed off one by one.",90 min,Identity,62
"Animation, Adventure, Comedy",8.1,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",108 min,Zootopia,98
"Adventure, Comedy, Horror",7.7,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",88 min,Zombieland,89
"Crime, Drama, History",7.7,A San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac killer.,157 min,Zodiac,89
"Action, Adventure, Sci-Fi",8.0,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,132 min,X-Men: Days of Future Past,91
"Action, Drama, Mystery",7.6,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",162 min,Watchmen,65
"Animation, Adventure, Family",8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",98 min,WALL·E,96
"Drama, Mystery, Thriller",7.5,"A woman brings her family back to her childhood home, which used to be an orphanage for handicapped children. Before long, her son starts to communicate with an invisible new friend.",105 min,The Orphanage,87
"Horror, Mystery",6.7,"A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession.",92 min,The Witch,91
"Horror, Mystery, Sci-Fi",8.2,"It's the first week of winter in 1982. An American Research Base is greeted by an alien force, that can assimilate anything it touches. It's up to the members to stay alive, and be sure of who is human, and who has become one of the Things.",109 min,The Thing,81
"Drama, Fantasy, Horror",7.5,A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.,156 min,The Wailing,98
"Biography, Crime, Drama",6.9,"The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.",123 min,Black Mass,75
"Action, Adventure, Sci-Fi",6.8,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",151 min,Batman v Superman: Dawn of Justice,27
"Documentary, History, War",7.9,"A documentary featuring letters written by U.S. soldiers, sailors, airmen, and Marines during the Viet Nam War to their families and friends back home. Archive footage of the war and news ...",84 min,Dear America: Letters Home from Vietnam,100
"Animation, Adventure, Comedy",7.7,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",95 min,Despicable Me,81
Comedy,7.3,The cross-country adventures of two good-hearted but incredibly stupid friends.,107 min,Dumb & Dumber,66
"Horror, Sci-Fi, Thriller",6.7,A rescue crew investigates a spaceship that disappeared into a black hole and has now returned...with someone or something new on-board.,96 min,Event Horizon,24
"Crime, Drama, Thriller",9.0,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, ND.",53 min,Fargo,N/A
"Action, Adventure, Sci-Fi",8.1,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,121 min,Guardians of the Galaxy,91
"Action, Crime, Thriller",7.2,An ex-hitman comes out of retirement to track down the gangsters that took everything from him.,101 min,John Wick,85
"Biography, Drama",7.7,"Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business.",120 min,The Social Network,96
"Drama, Fantasy, Horror",6.6,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers.",119 min,Crimson Peak,71
